LONE STAR EVENTS & ENTERTAINMENT — MASTER RENTAL STOCK LIST
Updated by Dana — please don't move the columns around

item_name,how_many_you_own,available,min_rental_days,max_rental_days

Princess Castle Bounce House,1,yes,1,3
Castle Combo Bounce House with Slide,1,yes,1,3
Medieval Castle Obstacle Course,1,yes,1,3
Tropical Water Slide 18ft,1,yes,1,2
Tropical Water Slide 22ft,1,yes,1,2
Toddler Play Zone Inflatable,2,yes,1,3
Sports Arena Bounce House,1,yes,1,3
Giant Obstacle Course 40ft,1,yes,1,2

Blackjack Table,4,yes,,
Roulette Table,2,yes,,
Craps Table,1,yes,,
Texas Hold em Poker Table,3,yes,,
Big Six Money Wheel,1,yes,,
Casino Chip Set 500 piece,6,yes,,
Casino Dealer Shoe,4,yes,,

DJ Booth Package with Facade,2,yes,,
Powered Speaker JBL EON615,8,yes,,
Wireless Microphone handheld,6,yes,,
Wireless Microphone lapel,4,yes,,
Uplighting Set 12 fixtures,3,yes,,
Fog Machine,2,yes,,
Photo Booth Enclosed,1,yes,,
Photo Booth Open Air,1,yes,,
Karaoke Machine,1,yes,,

White Folding Chair,200,yes,,
Black Padded Chair,120,yes,,
60 inch Round Table,40,yes,,
8ft Banquet Table,25,yes,,
Cocktail Table high top,30,yes,,
Table Linen White 120 inch round,60,yes,,

10x10 Pop Up Tent,6,yes,1,7
20x40 Frame Tent,2,yes,2,14
Portable Dance Floor 16x16,1,yes,1,3
Portable Generator 7500W,2,yes,1,7

Popcorn Machine,2,yes,,
Cotton Candy Machine,2,yes,,
Snow Cone Machine,1,yes,,
Chocolate Fountain,1,yes,,

Mechanical Bull,1,no,1,2
Foam Party Machine,1,no,,
